Beer,Rating
14th Star B-72,3.73
14th Star Follow Me IPA,3.9
14th Star Tribute,3.61
18th Street Devil's Cup,3.48
18th Street Pins and Needles,4.24
18th Street Rise of the Angels DIPA,3.38
18th Street Under Crown,4.14
1911 Original Hard Cider,3.6
21 Amendment Brew Free! or Die IPA (Blood Orange),3.8
21 Amendment Variety IPA Pack,3.47
21st Amendment Back in Black,3.64
21st Amendment Bitter American,3.56
21st Amendment Brew Free! or Die IPA,3.85
21st Amendment Down to Earth,3.41
21st Amendment Hell or High Watermelon,3.51
21st Amendment Lower De Boom,3.59
21st Amendment Monk's Blood,4.03
21st Amendment Sneak Attack,3.61
21st Amendment Variety Pack,3.69
3 Fonteinen Oude Geuze,3.67
3 Stars Low Hanging Fruit: Cherry & Lime,3.13
3 Stars Pounding Trees,3.58
3 Stars Southern Belle,3.81
A Little Sumpin' Wild,3.7
Abandoned Hard Cider Classic,3.95
Abbey De Leffe Blonde,3.56
Abita Andygator,4.28
Abita Grapefruit Harvest IPA,3.57
Abita Purple Haze,3.35
Abita Turbodog,3.58
Abomination Brewing Bro Beer,3.54
Abomination Brewing Hop Roulette,4.24
Abomination Brewing Hop Thing,4.25
Abomination Brewing Social Distancing,3.44
Abomination Bro Beer,3.94
Abomination Wandering In The Fog Sabro,3.61
Abomination Wandering In The Fog Vic Secret,3.99
Ace Apple Cider,3.5
Ace Joker Apple Cider,3.51
Ace Perry Pear Hard Cider,3.42
Ace Pineapple Cider,3.65
Ace Space Blood Orange Cider,4
Aecht Schlenkerla Fastenbier,3.77
Aecht Schlenkerla Helles Lagerbier,3.36
Aecht Schlenkerla Lentbeer,3.56
Aecht Schlenkerla Lentbeer Unfiltered Smokebeer,3.37
Aecht Schlenkerla Oak Smoke,3.87
Aecht Schlenkerla Rauchbier M√§rzen,3.54
Aecht Schlenkerla Rauchbier M‰rzen,4.36
Aecht Schlenkerla Rauchbier Urbock,3.5
Against the Grain Citra Ass Down,3.6
Against the Grain Pile of Face,4.35
Against the Grain Pretty Willie's Imperial Stout,4.4
Against the Grain Sexy Saxon,3.61
Against the Grain Your Beer,3.9
Against the Grain/Mikkeller Bloody Show,4.38
Againt The Grain Something Special,3.84
Alchemist - Focal Banger,3.96
Alchemist Heady Topper,3.7
AleSmith Anvil ESB,3.92
AleSmith IPA,3.96
Alewife All Together,3.73
Alewife Chaos Gose,3.85
Alewife Death to Ego IPA,3.6
Alewife Distraction,3.83
Alewife Electric Rhino,3.7
Alewife Frau Holle,3.36
Alewife Lupulin Vibrations: Azacca,3.71
Alewife Lupulin Vibrations: Idaho 7,4.1
Alewife Meadow Maker,3.37
Alewife Metanoia,3.8
Alewife Self Decapitation,3.59
Alewife Social Conditioning,3.77
Alewife Thousand Stars,3.86
All Together Collab (hosted by The Other Half),4.1
Allagash Barrel & Bean,4.38
Allagash Barrel and Bean,3.59
Allagash Black,3.89
Allagash Coolship Peche,4.21
Allagash Crosspath,3.73
Allagash Curieux,4.08
Allagash Darling Ruby,4.15
Allagash Dubbel,3.67
Allagash Farm to Face,3.5
Allagash I Believe In Love,3.7
Allagash Map 40,3.52
Allagash Map 40 Stout,3.81
Allagash Nowaday,4.03
Allagash Pick Your Own,3.91
Allagash River Trip,3.4
Allagash Saison,3.86
Allagash Sixteen Counties Ale,3.8
Allagash Tripel,3.77
Allagash White,3.9
Alltech Bourbon Barrel Ale,3.82
Alltech Kentucky Bourbon Barrel Coffee Stout,3.8
Almanac Loud!,3.37
Almanac LOVE Hazy,4.03
Almanac Vibes Pilsner,3.73
Almond 22 Pink IPA,3.81
Alphabet City Alpha Male IPA,4.02
Alphabet City Easy Blonde,3.42
American Solera + Evil Twin Farmtruck,4
American Solera DJ Mixculture: The Hits,4.2
American Solera Foederville,4.2
American Solera Lí Internationale,3.39
American Solera Oak Dreams,3.2
American Solera Terpy Citra,3.43
American Solera Woof,3.8
Amstel Light,3.61
Anchor Brewer's Pale Ale,3.5
Anchor Liberty Ale,3.94
Anchor Steam Beer,3.83
Anchor Steam Brewers Pale Ale,3.62
Anchor Steam California Lager,4.06
Anchor Steam Fog Breaker,3.38
Anchor Steam Fog Breaker IPA,3.82
Anchor Steam Liberty Ale,3.35
Andechs Doppelbock Dunkel,4.31
Anderson Valley Blood Orange Gose,4.08
Anderson Valley Briney Melon,3.78
Anderson Valley Holygose,3.5
Anderson Valley Seasonal Gose,3.4
Anderson Valley Summer Solstice,3.7
"Anderson Valley The Kimmie, The Yink and The Holy Gose",3.55
Anderson Valley Winter Solstice,3.61
Angry Orchard Crisp Apple,3.87
Angry Orchard Green Apple,4.13
Angry Orchard Ros√©,3.7
Anxo Cidery Hereford Gold,3.77
Anxo Happy Tree Dry Cider,3.51
Anyday Rose,3.45
Applewood Naked Flock Pumpkin Cider,3.4
Arcadia London Porter,3.57
Arcadia Sky High Rye,3.67
Archer Roose Sauv Blanc,3.65
Archer Roose Spritz,4.1
Arctic Panzer Wolf,4.17
Arctic Summer Raspberry Lime,3.46
Arctic Summer Variety 12 Pack,4
Arrowood Farms Porch Beer,3.7
Aslin A Small Town in Ontario,3.52
Aslin Beer Bringing Sexy Back,4.07
Aslin Beer Co. Dad Jokes,4.3
Aslin Beer Co. Soaking The Dishes,3.59
Aslin Don't Dial In And Focus,3.46
Aslin One Star,3.44
Aslin The Implication DIPA,3.7
Aslin VelociRabbit,3.54
Athletic Brewing All Out Stout,3.76
Athletic Brewing Company Run Wild Non Alcoholic Ipa,3.62
Athletic Brewing Run Wild,3.34
Athletic Brewing Run Wild IPA,3.94
Athletic Brewing Upside Down Golden Ale,3.84
Athletic Upside Dawn,3.66
Au Baron / Jester King Noblesse Oblige,3.48
Austin East Watermelon Cider,3.53
Austin Eastciders Blood Orange Cider,3.8
Austin Eastciders Original Dry Cider,4.1
Austin Eastciders Pineapple Cider,3.49
Austin Eastciders Ruby Red Grapefruit Cider,3.98
Austin Eastciders Sangria Cider,3.72
Austin Eastciders Texas Honey Cider,3.45
Austin Eastciders Watermelon Cider,3.35
Aval Cidre Artisanal,3.6
Avery Anniversary Twenty Four,3.38
Avery El Gose,3.49
Avery Ginger Sour,3.98
Avery Liliko'i Kepolo,4.03
Avery Mephistopheles,3.35
Avery Raspberry Sour,4.31
Avery Raspberry Truffale,3.81
Avery Rumpkin,3.6
Avery The Beast Grand Cru Ale,3.94
Avery Tweak Barrel-Aged Imperial Stout with Coffee,3.72
Avery Tweak Barrel-Aged Imperial Stout with Coffee 2017,4.35
Avery Tweak Bourbon Barrel,4.36
Avery Uncle Jacob's Stout,3.76
Ayinger Bavarian Pilsner,3.34
Ayinger Br√§uweisse,4.13
Ayinger Br‰uweisse,4.18
Ayinger Celebrator Doppelbock,4.19
B. Nektar Believe American Gods,3.48
B. Nektar Core Crusher,3.6
Back Bay Farmhouse Bonfire,3.21
Ball Rose Organic Dry Cider,3.82
Ballast Point Grapefruit Sculpin,3.54
Ballast Point Sculpin IPA,4.26
Banded Charms and Hexes,3.36
Barrier & Incendiary Front Toward Pilsner,4.01
Barrier | Money,3.87
Barrier Atypical IPA,4.1
Barrier Bird's Eye View,3.52
Barrier Classic,4.2
Barrier Classic White Ale,3.45
Barrier Floral Friday,3.57
Barrier Greenroom Pale Ale,4.2
Barrier Hoplantic,3.93
Barrier Icculus K√∂lsch,3.54
Barrier Kickin' Knowledge IPA,4
Barrier Kickin' Knowledge Milkshake IPA,3.5
Barrier Kickin' Knowledge: Orange Peach Mango,3.33
Barrier Lomax,3.65
Barrier Money IPA,3.59
Barrier Non-Cents Session IPA,3.4
Barrier Our Sour : Bois & Berries,4.02
Barrier RipRap Baltic Porter,4.3
Barrier Tanto IPA,3.56
Barrier/Bierwax Dont Nothing Move But The Money,3.82
Barrier/Interboro Money Mad Fat!,4.07
Barrier/Rishi O-Ren Rishi,4.28
Bass Ale,3.39
Beak & Skiff 1911 Hard Cider,3.65
Bear Republic Racer 5 IPA,3.62
Bearded Iris Homestyle,3.49
Beck‚Äôs Beer,3.59
Becks,3.98
Beck's Non Alcoholic,4.08
Belhaven Black Scottish Stout Nitro,3.88
Bell's Amber Ale,4.09
Bell's Black Note Stout,3.57
Bell's Blackbeard's Bear Hug (2019),3.36
Bells Bright White Ale,3.67
Bell's Hopslam 2019,3.73
Bell's Hopslam 2020,3.63
Bell's Kalamazoo Stout,3.37
Bell's Larry's Latest Flamingo Fruit Fight,3.94
Bell's Light Hearted Ale,4.21
Bell's Midwestern Pale Ale,4.14
Bell's Oarsman Ale,3.42
Bell's Oberon,4.01
Bell's Overland Stout,4.15
Bell's Pooltime,3.77
Bell's Two Hearted,3.84
Bellwoods Barn Owl Blend No. 16,4.1
Bellwoods Donkey Venom,3.42
Bellwoods Grandma‚Äôs Boy (2018),3.8
Better Wine Co Nitro Rose Spritzer,4.11
Better Wine Co Red Wine Spritzer,3.61
Big Alice As Cool As You Please,3.55
Big Alice Off the Cuff,3.92
Big Alice Queensbridge,3.4
Big aLICe Queensbridge DDH,3.65
Big Alice World of Tomorrow,3.63
Birra Antoniana Altinate,3.46
Birra Moretti,3.5
Birra Moretti Premium Lager,3.4
Bissel Brothers Lux,3.3
Bissell Brothers Here's To Feeling Good All The Time,3.4
Bissell Brothers Reciprocal,3.6
Bissell Brothers The Substance,4.08
Bitburger Pilsner,3.81
Bitburger/Sierra Nevada Triple Hop'd Lager,3.91
Black Narrows How Bout It,3.12
Blackberry Farm Classic Saison,3.88
Blank Brewing The One That Just Kicked,4.38
Blenderie Ommegang Super Kriek,3.76
Blue Moon Belgian Style Wheat,3.5
Blue Moon Short Straw,3.9
"Blue Point ""The IPA""",3.6
Blue Point Blueberry Ale,3.97
Blue Point Citrus Plunge,3.7
Blue Point Hazy Bastard,3.56
Blue Point Hazy Bastard: Variant #006,3.83
Blue Point Hoptical Illusion,3.66
Blue Point Mosaic Session IPA,3.68
Blue Point The Shore Thing,3.94
Blue Point Toasted Lager,3.6
Blue Point Una Fria,3.41
Bockor Cuvee des Jacobins Rouge,4.36
Bockor Kriek Des Jacobins,3.83
BON & VIV Lemon Lime,3.67
BON & VIV Spiked Seltzer Black Cherry Rosemary,3.7
Bon & Viv Spiked Seltzer Blends Variety Pack,3.64
BON & VIV Spiked Seltzer Cranberry,3.41
BON & VIV Spiked Seltzer Grapefruit ( 6 pk ),3.72
BON & VIV Spiked Seltzer Variety 12 Pack,3.91
Boon Oude Geuze,4.02
Boon Oude Geuze Mariage Parfait,4.29
Bosteels Pauwel Kwak,4.17
Boulevard 30th Anniversary Barrel Aged Blend,3.6
Boulevard Dark Truth Stout,3.53
Boulevard Rye on Rye,4.01
Boulevard Tank 7,4.19
Boulevard The Calling,3.53
Boulevard The Sixth Glass,3.36
Boulevard Unfiltered Wheat,4.28
Boulevard/Modern Times Restless Nights,3.9
Brasserie De Saint-Sylvestre 3 Monts,3.55
Brasserie Dupont Saison Dupont Saison,3.48
Braven Bushwick Pilsner,3.46
Braven IPA,3.51
Braven White IPA,3.85
Breckenridge Agave Wheat,4.41
Breckenridge Vanilla Porter,3.34
Breckenridge Vanilla Porter Nitro,3.47
Brekeriet Picnic Sunrise,3.79
BrewDog Elvis Juice,4.07
BrewDog Hazy Jane,3.59
BrewDog Jet Black Heart Nitro,3.37
BrewDog Punk IPA,3.96
Brix City Grateful Jams,3.43
Brix City Island Jams,4.19
Broken Bow Bearded Skull,4.07
Broken Bow Broken Auger Lager,3.72
Broken Bow IPA : Mosaic,3.38
Broken Bow Prime Now,4.41
Broken Bow Space Brut,3.66
Broken Bow The Barones ‚ÄúBaron Von Black‚Äù,3.33
"Broken Bow The Barones: ""El Ay Si‚Äù",4.14
Broken Bow The Barones: ‚ÄúHellgate Original‚Äù,3.87
Broken Bow The Baroness ‚ÄúWhiteWash #5‚Äù,3.51
Bronx Brewery American Pale Ale,3.43
Bronx Brewery Boom Boom IPA,3.57
Bronx B-Side Series: Backyard Freestyle IPA,4.26
Bronx No Resolutions IPA,3.87
Bronx Now Youse Can't Leave,3.5
Bronx Pale Ale,3.68
Bronx Slow Your Roll,3.37
Bronx Summer Pale Ale,3.26
Bronx Well-Earned,3.7
Bronx World Gone Ros√©,4
Brooklyn Bel Air Sour Ale,3.59
Brooklyn Black Chocolate Stout,3.68
Brooklyn Cider Kinda Dry,3.33
Brooklyn Defender 2019,3.46
Brooklyn East India Pale Ale,4
Brooklyn Lager,3.8
Brooklyn Local 1,3.9
Brooklyn Pilsner,4.02
Brooklyn Sorachi Ace,3.83
Brooklyn Summer Ale,3.57
Brouwerij Bosteels Tripel Karmaliet,4.01
Bruery Mash 2015,3.5
Bruery Sour In The Rye,3.42
Bruery Tart of Darkness,3.41
Bruery Terreux/Jester King Bouffon,3.4
Bruery White Chocolate,3.6
Bud Light,2.34
Bud Light Lime,3.55
Bud Light Lime Mang-O-Rita,3.51
Bud Light Pine Apple Rita Splash,3.54
Bud Light Platinum,3.64
Bud Light Seltzer Variety Pack,2.34
Budweiser,3.7
Bunker Machine,3.58
Burial Blade and Sheath,3.83
Burial Hawkbill,3.54
Burial Skillet Donut Stout,3.54
Burial Surf Wax,4.15
Burley Oak/Evil Twin Cherry Cola Float JREAM,3.86
Burlington Beer Elaborate Metaphor,3.96
Burlington Beer Orbital Elevator,4.4
Cambridge Remain In Light,4.2
Captain Lawrence 6th Borough,3.65
Captain Lawrence Citra Dreams,4.21
Captain Lawrence Freshchester,3.82
Captain Lawrence Hop Commander,3.9
Captain Lawrence Hops N' Roses,4
Captain Lawrence Liquid Gold,4
Carakale Red Sea-rious,3.53
Carakale/AZ Wilderness Dead Sea-rious,3.83
Carlow O'Hara's Irish Red,3.92
Carlsberg,3.54
Carton Monkey Chased The Weasel,3.45
Carton Nitro Light & Sweet,3.81
Carton of Milk Stout Nitro,4.29
Carton The Hook,4.38
Carton The Wit Whale,4
Cascade Apricot 2017,3.69
Cascade Brewing Bean To Barrel,3.22
Cascade/Bruery Terreux One Way or Another,3.41
Catskill Ball Lightning Pilsner,3.57
Catskill Brewing Cemetery Pool,3.54
Catskill Darbee's Irresistible Pale Ale,3.46
Catskill Devil's Path IPA,3.7
Catskill Pale Ale With Idaho 7,3.58
Central Waters Bourbon Barrel Cherry Stout,3.44
Central Waters Bourbon Barrel Stout,3.73
Central Waters Brewer's Reserve Bourbon Barrel Scotch Ale,3.58
Central Waters Brewer's Reserve Call Me Old Fashioned,3.52
Central Waters Mud Puppy Porter,3.97
Central Waters Satin Solitude Imperial Stout,3.8
Charles Towne Fermentory Ralf,3.55
Charles Towne Telstar Vii,3.69
Chimay Cinq Cents (White),3.37
Chimay Dor√©e,3.47
Chimay Grand Reserve,3.38
Chimay Peres Trappistes Ale Blue,3.78
Chimay Premiere (Red),3.39
Cider Creek Hard Cider,4.1
Ciderboys Grand Mimosa,3.78
Cidre de Normandie Ferme de Romilly Brut,3.9
Cigar City After Sesh,3.78
Cigar City Florida Cracker Belgian Wheat,3.72
Cigar City Invasion,4.26
Cigar City Jai Alai,3.73
Cigar City Maduro Brown Ale,3.87
Cigar City Wedge Cut,4.36
Cigar Florida Cracker White,4.41
Cisco Grey Lady,3.69
Cisco Whale's Tale,4.09
Citizen Cider bRose,3.29
Citizen Cider For Shore,3.59
Citizen Cider The AmeriCran,3.59
Citizen Cider The Dirty Mayor,3.4
Citizen The Lake Hopper,3.76
Citizen Tulsi Cider,3.42
Citizen Tulsi Cider w/ Basil,3.8
Citizen Unified Press,3.59
Citizen Wit's Up,3.43
Citizens Fruition,3.63
Civil Society Fresh,3.84
Civil Society Pulp,4.14
Clausthaler Premium Non-Alcoholic,4.22
Clown Shoes Zen Garden,4.13
Collective Arts Bourbon Barrel Aged Imperial Porter,3.94
Collective Arts Guava Gose,3.72
Collective Arts Jam Up The Mash,3.58
Collective Arts Life in the Clouds,3.42
Collective Arts Ransack The Universe,4.34
Collective Arts Stranger than Fiction Porter,4.09
Common Roots Snowy Night,3.98
Commonwealth Afterglow,3.4
Coney Island Beach Beer,3.89
Coney Island Hard Root Beer,4.4
Coney Island Mermaid Pilsner,3.46
Coney Island Merman IPA,4.09
Confliction,3.91
Cooper's Pale,3.36
Coors Light,1.99
Corona,3.54
Corona Extra,3.5
Corona Light,3.07
Corsendonk Agnus Tripel,4.06
Corsendonk Pater Dubbel,4
Crabbie's Alcoholic Ginger Beer,3.95
Crabbie's Alcoholic Raspberry Ginger Beer,3.34
Crabbies Spiced Orange Ginger,3.48
Crispin Original,2.81
Crooked Crab Chuck-Brown,3.76
Crooked Crab Furious George,3.12
Crooked Crab Haze for Days,3.67
Crooked Crab Nitro Stache,3.25
Crooked Stave Blueberry Origins,3.59
Crooked Stave Nightmare on Brett Sour Cherry,3.53
Crooked Stave Petite Sour Peach,3.56
Crooked Stave Petite Sour Ros√©,4.01
Crooked Stave Salvador Cybies,3.9
Crooked Stave Sour Ros√©,3.68
Dark Horse Toonilla,3.73
Datura Damm Barcelona,4.02
Dc Brau A Touch Of Grey,3.59
DC Brau Brau Pils,3.35
"DC Brau Full Transparency Hard Seltzer Passionfruit, Orange, and Guava",3.24
DC Brau Joint Resolution,3.39
DC Brau On The Wings Of Armageddon,3.13
DC Brau Pils,3.15
DC Brau The Public,4.43
De Dolle Stille Nacht,3.81
De Troch Winter Gueuze,3.77
Deciduous Flash,3.54
Deciduous Great Wide Open,3.41
Deciduous Playing In The Shadows 7.0,3.86
Deciduous Research 16.0,3.45
Delirium Noel 2018,4.09
Delirium Tremens,3.59
Departed Soles GoodbIPA: Four My Homie,3.43
Departed Soles Hudson Pride,3.84
DESTIHL Dosvidanya Bourbon Barrel (2018),3.59
DESTIHL Wild Sour Series: Pi√±a Colada Gose,3.94
Devils Backbone Capit Ale,3.55
Devils Backbone Vienna Lager,3.17
Diamondback Zlaty,4.32
Dieu du Ciel Grande Noirceur,3.93
District 96 Photo Op,3.51
Doc‚Äôs Draft Hard Apple Cider,4.15
Dogfish Head 120 Minute IPA,3.9
Dogfish Head 60 Minute,3.6
Dogfish Head 90 Minute,3.54
Dogfish Head Burton Baton,3.46
Dogfish Head Festina Peche 2018,3.92
Dogfish Head Midas Touch,3.36
Dogfish Head Namaste,3.65
Dogfish Head SeaQuench Ale,3.86
Downeast Aloha Cider,4.09
Downeast Cider Original,3.28
Downeast Orignal Blend,3.34
Downeast Winter Blend,4.25
Duchesse de Bourgogne,4.03
Duclaw Pineapple Queen,3.6
Duclaw Sweet Baby Jesus!,3.47
Dugges Cola,3.86
Dutchess Ales Mizmaze Ale,4.01
Duvel,3.73
Eastern Shore St. Michaels Ale,4.14
